Tweet ID,Tweet Text,Tweet Date,Followers count
1068787012931480000,rt : techmahindra cisco launch digital experience center in bengaluru stpiindia,2018-12-01,25
1068789318142030000,official launch! webexboard ciscowebex cisco news new tech business smallbusiness cool,2018-12-01,3616
1068790942528950000,cisco sap partner for an end-to-end solution that spans on-prem to aws suhail syed cisco dr lars dannecker ...,2018-12-01,2606
1068803128210800000,rt : best it training certification courses ai analytics iot bi amazon aws tech ccna ...,2018-12-01,4033
1068804961297930000,rt : best it training certification courses ai analytics iot bi amazon aws tech ccna ...,2018-12-01,190
1068805111336450000,rt : best it training certification courses ai analytics iot bi amazon aws tech ccna ...,2018-12-01,22232
1068805140591850000,rt : best it training certification courses ai analytics iot bi amazon aws tech ccna ...,2018-12-01,1145
1068805208728320000,rt : best it training certification courses ai analytics iot bi amazon aws tech ccna ...,2018-12-01,689
1068810893931270000,so cisco can't figure out how to shrink the suit down to get it back in the ring however they have a shrinking exp...,2018-12-01,2257
1068811557965040000,rt : which ip addresses can be given as private addresses? class a- to class b- to ...,2018-12-01,99
1068812005367270000,rt : so cisco can't figure out how to shrink the suit down to get it back in the ring however they have a shrinking expert on sp...,2018-12-01,257
1068813307589450000,amy chang proudly representing cisco lovewhereyouwork cisco,2018-12-01,74
1068816480484150000,rt : wearecisco and we're BLACK RIGHTWARDS ARROW[?] top two LEFTWARDS BLACK ARROW[?] on 's best workplaces for parents list to all the cisconian fami...,2018-12-01,417
1068816519256310000,rt : wouldn't it be sweet if your sdwan could secure and control all the pieces of your network? kick back and relax with cis...,2018-12-01,79
1068816959930790000,cisco to train cyber police,2018-12-01,4827
1068817919633700000,vbrick extends the reach of webex through its straightforward and fully integrated rev enterprise video platform...,2018-12-01,148
1068819764204740000,rt : best it training certification courses ai analytics iot bi...,2018-12-01,541
1068819994555880000,rt : rt : best it training certification courses ai analytics iot bi amazon...,2018-12-01,190
1068820177821840000,rt : rt : best it training certification courses ai analytics iot bi amazon...,2018-12-01,3602
1068820608295800000,rt : a case study - exploring the aci common pervasive gateway feature a...,2018-12-01,59
1068821428479210000,working with washington state agencies city county offices focusing on technology solutions developed for govern...,2018-12-01,6733
1068823835376560000,rt : best it training certification courses ai analytics iot bi amazon aws tech ccna ...,2018-12-01,3237
1068825152899730000,monitor your call center from the places that really matter unleash the full power of cisco unified communication...,2018-12-01,732
1068825344579430000,rt ndbridge monitor your call center from the places that really matter unleash the full power of cisco unified...,2018-12-01,10
1068827079863660000,boost your business efficiency with one purchase! cisco ciscowebex webex tech news productivity efficiency...,2018-12-01,3612
1068829701672740000,rt : our new akkadian contact manager is here and you won't want to miss out on its new features managing your company direc...,2018-12-01,146
1068837760209960000,radius server now available in azure for wireless authentication azure azuremarketplace radius cisco meraki...,2018-12-01,275
1068838016289000000,rt : radius server now available in azure for wireless authentication azure azuremarketplace radius cisco meraki wire...,2018-12-01,144
1068848933948930000,rt : best it training certification courses ai analytics iot bi amazon aws tech ccna ...,2018-12-01,137
